Frame,Time,Drone_Angle,Speaker_Angle
647,4.307,-43.94030489,-28.67106088
648,4.313,-44.12086888,-28.84603793
649,4.32,-43.97584812,-29.01971064
650,4.327,-44.06300268,-29.19929214
651,4.333,-44.01662743,-29.38404685
652,4.34,-44.12371329,-29.5697675
653,4.347,-43.89887303,-29.74869713
654,4.353,-44.10132576,-29.9416017
655,4.36,-43.90190437,-30.14187674
656,4.367,-44.17126014,-30.32921178
657,4.373,-44.11344808,-30.51935046
658,4.38,-44.21297848,-30.71118267
659,4.387,-44.11705389,-30.89815925
660,4.393,-44.20344865,-31.09957933
661,4.4,-44.24020563,-31.29174075
662,4.407,-44.26252065,-31.48048929
663,4.413,-44.32971784,-31.68507487
664,4.42,-44.3933822,-31.88867134
665,4.427,-44.36543347,-32.0950016
666,4.433,-44.49712794,-32.31145715
667,4.44,-44.47891621,-32.50818855
668,4.447,-44.41420479,-32.71133044
669,4.453,-44.24180245,-32.92440883
670,4.46,-44.23444434,-33.13267022
671,4.467,-44.24302625,-33.33806931
672,4.473,-44.18620189,-33.54480835
673,4.48,-44.49235736,-33.75334586
674,4.487,-44.40574507,-33.95750684
675,4.493,-44.33446529,-34.15913238
676,4.5,-44.2068384,-34.36175374
677,4.507,-44.17676823,-34.56491684
678,4.513,-44.48894657,-34.76840094
679,4.52,-44.38049167,-34.96592561
680,4.527,-44.21584012,-35.14063968
681,4.533,-44.14134233,-35.32622065
682,4.54,-44.07126426,-35.52155313
683,4.547,-44.04745987,-35.69165768
684,4.553,-43.94250211,-35.86098183
685,4.56,-44.04826728,-36.03598579
686,4.567,-44.24941636,-36.21602559
687,4.573,-44.23566366,-36.38171242
688,4.58,-44.27425883,-36.55925326
689,4.587,-44.27113238,-36.73752315
690,4.593,-44.0957553,-36.89327711
691,4.6,-43.87414782,-37.07952136
692,4.607,-43.83269481,-37.25354335
693,4.613,-43.7924227,-37.4229693
694,4.62,-44.13300669,-37.57548496
695,4.627,-43.85214993,-37.73798461
696,4.633,-43.80749703,-37.89437033
697,4.64,-43.73930567,-38.05459874
698,4.647,-43.60732818,-38.21247321
699,4.653,-43.72672775,-38.36233644
700,4.66,-43.70466436,-38.51928007
701,4.667,-43.64203455,-38.66044574
702,4.673,-43.70167005,-38.79671965
703,4.68,-43.6692626,-38.92238984
704,4.687,-43.59060347,-39.06443478
705,4.693,-43.54766031,-39.20595463
706,4.7,-43.55505376,-39.35520181
707,4.707,-43.65482972,-39.50316989
708,4.713,-43.52145033,-39.62687719
709,4.72,-43.6860687,-39.758952
710,4.727,-43.66820744,-39.88889206
711,4.733,-43.62376672,-40.02307426
712,4.74,-43.61529262,-40.14774344
713,4.747,-43.5133342,-40.25611967
714,4.753,-43.56781962,-40.37308061
715,4.76,-43.52800145,-40.4850214
716,4.767,-43.33358998,-40.57806784
717,4.773,-43.35168417,-40.67845692
718,4.78,-43.46087142,-40.7547068
719,4.787,-43.49520059,-40.85200373
720,4.793,-43.52965013,-40.932467
721,4.8,-43.38466974,-41.01551356
722,4.807,-43.36357413,-41.08840042
723,4.813,-43.31144039,-41.15700215
724,4.82,-43.45717387,-41.2231394
725,4.827,-43.44085903,-41.27741321
726,4.833,-43.38901071,-41.32828487
727,4.84,-43.45185791,-41.38019965
728,4.847,-43.50859013,-41.42079472
729,4.853,-43.33822148,-41.45893287
730,4.86,-43.26378342,-41.49705846
731,4.867,-43.19463209,-41.51064356
732,4.873,-43.25628537,-41.53716439
733,4.88,-43.2411783,-41.5459305
734,4.887,-43.313083,-41.57407444
735,4.893,-43.2315184,-41.59723218
736,4.9,-43.24691632,-41.62406506
737,4.907,-43.2670531,-41.63565527
738,4.913,-43.10563474,-41.6716945
739,4.92,-43.08920504,-41.69209242
740,4.927,-43.18875248,-41.70230525
741,4.933,-43.356641,-41.70949312
742,4.94,-43.23919733,-41.71527761
743,4.947,-43.19203309,-41.71829807
744,4.953,-43.12051798,-41.71977819
745,4.96,-43.10029044,-41.71659376
746,4.967,-43.19055862,-41.7219412
747,4.973,-43.23249689,-41.71969911
748,4.98,-43.26603169,-41.72951967
749,4.987,-43.14264672,-41.72905478
750,4.993,-43.17842885,-41.74440133
751,5,-43.28818992,-41.74547247
752,5.007,-43.11671554,-41.7487518
753,5.013,-43.115659,-41.74691573
754,5.02,-43.0275951,-41.75264394
755,5.027,-43.03756041,-41.75421384
756,5.033,-43.00906413,-41.7490484
757,5.04,-43.07255713,-41.73702928
758,5.047,-43.08466154,-41.72536857
759,5.053,-43.1794536,-41.70997442
760,5.06,-43.14542913,-41.6939055
761,5.067,-43.20936097,-41.67039013
762,5.073,-43.02743802,-41.6471047
