DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
1,0,338.2488165,199.6303202,354.9158192,219.8929236,,,371.6874043,219.1510968,-97.266421,-97.7935192,,,,
2,0.005,337.4093064,199.7832065,354.0721267,220.045718,,,370.8453298,219.3045074,-97.96762129,-97.91830713,,,,
3,0.01,336.5669206,199.9340538,353.2268286,220.1954575,,,370.0019125,219.4558302,-98.67442725,-98.05039853,,,,
4,0.015,335.7215186,200.085606,352.3793568,220.3454758,,,369.1569923,219.6052814,-99.38516146,-98.1895035,,,,
5,0.02,334.8755896,200.2357833,351.5286101,220.4942527,,,368.3083817,219.7527542,-100.1000768,-98.33338202,,,,
6,0.025,334.0280163,200.3839788,350.676487,220.6401951,,,367.4590938,219.8985027,-100.822184,-98.47363933,,,,
7,0.03,333.1772255,200.5315404,349.8260304,220.7834468,,,366.6080183,220.0419509,-101.5516325,-98.61764208,,,,
8,0.035,332.3257292,200.6765743,348.9719382,220.9253476,,,365.7561094,220.1827605,-102.291518,-98.76544523,,,,
9,0.04,331.4731347,200.820122,348.1133379,221.0642531,,,364.8997095,220.3238908,-103.0389179,-98.91819157,,,,
10,0.045,330.6190543,200.9615901,347.2575192,221.2002872,,,364.0416603,220.4634686,-103.7903765,-99.07686477,,,,
11,0.05,329.7615373,201.1009705,346.3995912,221.3375224,,,363.1822336,220.6013694,-104.5438583,-99.236859,,,,
12,0.055,328.9031935,201.2387974,345.539056,221.4728938,,,362.3206068,220.7361541,-105.3067927,-99.38988793,,,,
13,0.06,328.0413732,201.3754531,344.6770179,221.6063973,,,361.4583164,220.870127,-106.0721798,-99.54258018,,,,
14,0.065,327.1781975,201.5106096,343.8153008,221.7357572,,,360.5929108,221.0017918,-106.8389356,-99.69501274,,,,
15,0.07,326.3141015,201.6424385,342.9515115,221.861378,,,359.7267811,221.1309034,-107.6106554,-99.83644789,,,,
16,0.075,325.4487172,201.7719326,342.085737,221.9861897,,,358.8598077,221.2565616,-108.3868141,-99.96069235,,,,
17,0.08,324.5802897,201.8992478,341.2184253,222.1084077,,,357.9928965,221.3798622,-109.1620543,-100.0686753,,,,
18,0.085,323.7104285,202.0234898,340.3512297,222.2285002,,,357.122869,221.5000613,-109.9398238,-100.1572161,,,,
19,0.09,322.8396731,202.1445725,339.4818003,222.3451704,,,356.251797,221.6172925,-110.7192011,-100.2236181,,,,
20,0.095,321.9687993,202.2619812,338.6097758,222.4595662,,,355.3792608,221.7327256,-111.4998268,-100.2683593,,,,
21,0.1,321.0951497,202.3767768,337.7363213,222.5716222,,,354.5058689,221.8447946,-112.2812642,-100.2917545,,,,
22,0.105,320.2202505,202.4889434,336.8622638,222.6806196,,,353.631534,221.9552432,-113.059914,-100.2949846,,,,
23,0.11,319.3435529,202.5980261,335.98641,222.7870205,,,352.7557723,222.0637675,-113.8385155,-100.2717954,,,,
24,0.115,318.4662724,202.702738,335.1103097,222.8892276,,,351.8769613,222.1691964,-114.6124532,-100.2285953,,,,
25,0.12,317.5884644,202.8039191,334.231594,222.9891005,,,350.997855,222.2712417,-115.3875873,-100.1656044,,,,
26,0.125,316.7099186,202.9023473,333.3512174,223.0865681,,,350.1184654,222.369706,-116.1632008,-100.0864168,,,,
27,0.13,315.8276978,202.9971463,332.4715502,223.1804472,,,349.2385247,222.4638348,-116.9427548,-99.99097389,,,,
28,0.135,314.9457181,203.0889515,331.5896224,223.2709619,,,348.3576088,222.554381,-117.7215643,-99.88422496,,,,
29,0.14,314.0629108,203.1778363,330.7069208,223.3574876,,,347.474995,222.6408205,-118.5000041,-99.76674242,,,,
30,0.145,313.1794381,203.2626323,329.8235235,223.4405043,,,346.5916271,222.72396,-119.2833077,-99.63440736,,,,
31,0.15,312.2940672,203.3443342,328.938424,223.5199222,,,345.7067868,222.8032642,-120.0650436,-99.493339,,,,
32,0.155,311.4073409,203.4224291,328.0531656,223.5962103,,,344.8223939,222.8789015,-120.8444715,-99.34441435,,,,
33,0.16,310.5194874,203.4971743,327.1654792,223.668652,,,343.9372273,222.9516545,-121.6201841,-99.18931788,,,,
34,0.165,309.6317862,203.5681859,326.2756415,223.7367744,,,343.0508343,223.0202611,-122.3975195,-99.02184895,,,,
35,0.17,308.743846,203.6328872,325.3856303,223.8027138,,,342.1638241,223.0857784,-123.1747899,-98.8424656,,,,
36,0.175,307.8551219,203.6943662,324.4975037,223.8638968,,,341.2767476,223.1470219,-123.9510741,-98.65281356,,,,
37,0.18,306.9648043,203.7527329,323.6071629,223.922401,,,340.3884438,223.2055213,-124.7228165,-98.45620338,,,,
38,0.185,306.074082,203.8070415,322.7158158,223.976502,,,339.4990393,223.2595586,-125.4927417,-98.25179927,,,,
39,0.19,305.1834212,203.8591525,321.8241835,224.0274776,,,338.6091104,223.310091,-126.2643393,-98.03702688,,,,
40,0.195,304.2928025,203.9063787,320.9347343,224.0730057,,,337.7183312,223.3572809,-127.0381229,-97.8143446,,,,
41,0.2,303.400827,203.9508988,320.0421765,224.117901,,,336.8272354,223.4003731,-127.8123646,-97.58828543,,,,
42,0.205,302.5086618,203.9911311,319.1487816,224.1597287,,,335.9364794,223.4402716,-128.58736,-97.3595344,,,,
43,0.21,301.6158006,204.0284613,318.2562285,224.1969681,,,335.0461861,223.4766825,-129.3655139,-97.12664261,,,,
44,0.215,300.7226962,204.0613693,317.362472,224.230502,,,334.1537202,223.5104145,-130.149978,-96.88671035,,,,
45,0.22,299.8296558,204.090996,316.4681956,224.2614635,,,333.261819,223.5398674,-130.9417441,-96.6400225,,,,
46,0.225,298.9365517,204.1165212,315.5741183,224.2885586,,,332.3698305,223.5666141,-131.7366455,-96.38955055,,,,
47,0.23,298.0418849,204.1394634,314.6803222,224.3112226,,,331.4778911,223.5900071,-132.5363603,-96.13412712,,,,
48,0.235,297.1476599,204.1586915,313.7868842,224.3310567,,,330.5854062,223.6095681,-133.3459171,-95.86835925,,,,
49,0.24,296.2542585,204.1733679,312.8931325,224.3473353,,,329.6927788,223.6258126,-134.1586362,-95.59655399,,,,
50,0.245,295.3603009,204.1853485,311.999169,224.3592058,,,328.7993849,223.6391892,-134.9752819,-95.31805128,,,,
51,0.25,294.4656144,204.1946684,311.1056533,224.3674191,,,327.9066277,223.6491603,-135.8009887,-95.02870153,,,,
52,0.255,293.5708502,204.1993807,310.2114733,224.3715501,,,327.0139376,223.6556682,-136.6337239,-94.72854781,,,,
53,0.26,292.6768472,204.1994368,309.318151,224.3724388,,,326.1218653,223.6584801,-137.4715264,-94.41977783,,,,
54,0.265,291.7820596,204.1968412,308.4253221,224.3704803,,,325.2302359,223.6578401,-138.316031,-94.10142575,,,,
55,0.27,290.8874595,204.1914076,307.5321382,224.365151,,,324.337647,223.652624,-139.1662827,-93.77221734,,,,
56,0.275,289.9931446,204.183317,306.6391393,224.3567632,,,323.4457032,223.643809,-140.0190095,-93.43555735,,,,
57,0.28,289.1002799,204.1707415,305.7471068,224.3446376,,,322.5548472,223.6318254,-140.8757541,-93.09171519,,,,
58,0.285,288.2061071,204.156283,304.8554363,224.3282808,,,321.6646118,223.615822,-141.7379452,-92.73870459,,,,
59,0.29,287.3120223,204.1376736,303.9646878,224.3076917,,,320.7745969,223.5967232,-142.6043751,-92.37759747,,,,
60,0.295,286.4188682,204.113956,303.0744828,224.2851269,,,319.8853792,223.5744906,-143.473044,-92.01120428,,,,
61,0.3,285.5259711,204.0899737,302.1848968,224.2594059,,,318.9969136,223.5491549,-144.3494658,-91.63787881,,,,
62,0.305,284.6334261,204.0619455,301.2957747,224.2305439,,,318.1088716,223.5205363,-145.2337016,-91.25658621,,,,
63,0.31,283.7420878,204.030962,300.4068495,224.1991609,,,317.2216967,223.4886149,-146.1261149,-90.87023562,,,,
64,0.315,282.8508791,203.9960888,299.5196538,224.1647174,,,316.3358459,223.4533588,-147.0277958,-90.47779589,,,,
65,0.32,281.9602257,203.9593765,298.6336834,224.1275029,,,315.4518654,223.4149469,-147.9435868,-90.08426884,,,,
66,0.325,281.0708019,203.9200641,297.7484726,224.0871873,,,314.5673298,223.3740425,-148.8798836,-89.68370939,,,,
67,0.33,280.1825588,203.8769536,296.8633975,224.0433707,,,313.6846417,223.3308027,-149.8351017,-89.2790206,,,,
68,0.335,279.2950405,203.8314682,295.9776835,223.9968736,,,312.8030968,223.2850883,-150.813356,-88.86504964,,,,
69,0.34,278.409209,203.7833213,295.093741,223.9479367,,,311.923568,223.2360546,-151.8114264,-88.44498137,,,,
70,0.345,277.5235754,203.7328491,294.2131675,223.8967764,,,311.0454159,223.1837445,-152.8230188,-88.02240231,,,,
71,0.35,276.639414,203.680358,293.3349759,223.8438006,,,310.1679751,223.1292414,-153.8436753,-87.60006471,,,,
72,0.355,275.7569004,203.6243727,292.4567637,223.788032,,,309.2922475,223.0721842,-154.8638762,-87.18789269,,,,
73,0.36,274.8762809,203.566047,291.5800071,223.7288966,,,308.4177979,223.0123245,-155.8746283,-86.7926668,,,,
74,0.365,273.9971066,203.5057996,290.7046492,223.6669666,,,307.5445613,222.9510094,-156.8775588,-86.41087243,,,,
75,0.37,273.1188319,203.4422347,289.8308629,223.6035098,,,306.6734558,222.887677,-157.8730133,-86.04095017,,,,
76,0.375,272.2424549,203.3767291,288.95958,223.5373868,,,305.8044236,222.8220935,-158.8635775,-85.67783789,,,,
77,0.38,271.3680277,203.3085144,288.0895527,223.4693712,,,304.9370078,222.7539448,-159.8514662,-85.31442182,,,,
78,0.385,270.494884,203.2386591,287.2213733,223.3994032,,,304.0717734,222.6835688,-160.8420811,-84.93929944,,,,
79,0.39,269.6238551,203.166688,286.3560854,223.3266807,,,303.2076113,222.6108212,-161.8360446,-84.54753708,,,,
80,0.395,268.7552577,203.0929222,285.492366,223.251543,,,302.3455882,222.5357053,-162.8300832,-84.14063955,,,,
81,0.4,267.8889858,203.0169677,284.6300898,223.1748504,,,301.4852974,222.4585846,-163.8316248,-83.71375933,,,,
82,0.405,267.024953,202.939006,283.7707208,223.0968635,,,300.6278155,222.3793285,-164.8346223,-83.28329497,,,,
83,0.41,266.1617993,202.859046,282.9138858,223.0164682,,,299.7725445,222.298731,-165.841334,-82.85323923,,,,
84,0.415,265.3015928,202.7774439,282.0590702,222.9331992,,,298.9199365,222.2159421,-166.8506887,-82.42414257,,,,
85,0.42,264.4440884,202.6947752,281.207049,222.8487804,,,298.0692475,222.1315995,-167.8638734,-81.99718071,,,,
86,0.425,263.5888137,202.6101105,280.3569056,222.7629983,,,297.2210798,222.0456095,-168.8833834,-81.57492449,,,,
87,0.43,262.7365522,202.5229506,279.5088041,222.6753665,,,296.3749947,221.958196,-169.9065059,-81.1586036,,,,
88,0.435,261.8871648,202.4342556,278.6642679,222.5867118,,,295.532087,221.8686652,-170.9309553,-80.74728936,,,,
89,0.44,261.0411021,202.3442112,277.821834,222.4970188,,,294.6911596,221.777846,-171.952559,-80.34172346,,,,
90,0.445,260.1968906,202.2530706,276.9825571,222.4058007,,,293.8527444,221.6852065,-172.971943,-79.94108111,,,,
91,0.45,259.3552245,202.1612728,276.1459015,222.3138138,,,293.0170466,221.5909436,-173.9879969,-79.54593916,,,,
92,0.455,258.5165085,202.0674415,275.3117968,222.2218792,,,292.185205,221.4951764,-175.001831,-79.15528204,,,,
93,0.46,257.6801404,201.9736487,274.4801105,222.1280385,,,291.3560917,221.398072,-176.0131633,-78.7675325,,,,
94,0.465,256.8467378,201.8783722,273.6516991,222.0329645,,,290.5299418,221.300201,-177.0251426,-78.37831523,,,,
95,0.47,256.0162653,201.7822306,272.8267435,221.9371475,,,289.7057544,221.2018737,-178.0376049,-77.98854732,,,,
96,0.475,255.1893257,201.6847393,272.0040117,221.8403948,,,288.8845738,221.1031746,-179.0551617,-77.59511862,,,,
97,0.48,254.3655359,201.5868703,271.1836039,221.7423572,,,288.0663212,221.0031008,-180.0788721,-77.20086577,,,,
98,0.485,253.5446901,201.4877324,270.3665338,221.6435486,,,287.2507163,220.9020232,-181.1035934,-76.81199259,,,,
99,0.49,252.7270803,201.3875176,269.5527825,221.5440921,,,286.4388346,220.8000978,-182.126965,-76.4310497,,,,
100,0.495,251.9130616,201.286351,268.7417369,221.4439869,,,285.6298489,220.6975508,-183.1487264,-76.05802593,,,,
101,0.5,251.1012142,201.1856101,267.9340396,221.3429468,,,284.8244611,220.5940568,-184.1703041,-75.691195,,,,
102,0.505,249.5087163,201.159019,266.3427235,221.3167982,,,283.2371976,220.5666528,-185.978529,-75.42256585,,,,
103,0.51,247.9175996,201.1299796,264.7533776,221.2876718,,,281.6503586,220.53585,-187.7859578,-75.1577585,,,,
104,0.515,246.327839,201.0984448,263.165115,221.2552614,,,280.0639869,220.5024883,-189.5941797,-74.896417,,,,
105,0.52,244.7395108,201.0639338,261.5780437,221.2208336,,,278.4787819,220.4663018,-191.4050856,-74.6377175,,,,
106,0.525,243.1521153,201.0272688,259.9908617,221.1830877,,,276.8946529,220.4272998,-193.2162787,-74.3809471,,,,
107,0.53,241.5669348,200.9866063,258.405211,221.1424073,,,275.311875,220.3866712,-195.0279615,-74.12709875,,,,
108,0.535,239.9827977,200.9435724,256.8221027,221.0978035,,,273.7310139,220.3422456,-196.8396541,-73.8750809,,,,
109,0.54,238.3997548,200.8979863,255.2409629,221.0506201,,,272.1526403,220.2949522,-198.6529795,-73.62282455,,,,
110,0.545,236.8188678,200.8499404,253.6611741,221.0012135,,,270.5762075,220.2450451,-200.4677671,-73.3728513,,,,
111,0.55,235.2395149,200.7986845,252.0835152,220.950098,,,269.0010316,220.193087,-202.2827234,-73.124678,,,,
112,0.555,233.6624757,200.7451455,250.5080131,220.8968183,,,267.4278376,220.1376635,-204.0983928,-72.87830615,,,,
113,0.56,232.0874363,200.6890118,248.9343214,220.840699,,,265.8563448,220.0793775,-205.9164616,-72.6338266,,,,
